Series;Time;Value
Value;2015-11-12T09:00:00.000Z;null
Value;2015-11-12T09:30:00.000Z;null
Value;2015-11-12T10:00:00.000Z;210.29000000000005
Value;2015-11-12T10:30:00.000Z;206.03
Value;2015-11-12T11:00:00.000Z;null
Value;2015-11-12T11:30:00.000Z;null
Value;2015-11-12T12:00:00.000Z;null
Value;2015-11-12T12:30:00.000Z;null
Value;2015-11-12T13:00:00.000Z;null
Value;2015-11-12T13:30:00.000Z;null
Value;2015-11-12T14:00:00.000Z;null
Value;2015-11-12T14:30:00.000Z;null
Value;2015-11-12T15:00:00.000Z;null
Value;2015-11-12T15:30:00.000Z;null
Value;2015-11-12T16:00:00.000Z;null
Value;2015-11-12T16:30:00.000Z;null
Value;2015-11-12T17:00:00.000Z;null
Value;2015-11-12T17:30:00.000Z;null
Value;2015-11-12T18:00:00.000Z;null
Value;2015-11-12T18:30:00.000Z;null
Value;2015-11-12T19:00:00.000Z;null
Value;2015-11-12T19:30:00.000Z;null
Value;2015-11-12T20:00:00.000Z;null
Value;2015-11-12T20:30:00.000Z;null
Value;2015-11-12T21:00:00.000Z;null
Value;2015-11-12T21:30:00.000Z;null
Value;2015-11-12T22:00:00.000Z;null
Value;2015-11-12T22:30:00.000Z;null
Value;2015-11-12T23:00:00.000Z;null
Value;2015-11-12T23:30:00.000Z;246.40499999999997
Value;2015-11-13T00:00:00.000Z;249.564
Value;2015-11-13T00:30:00.000Z;251.252
Value;2015-11-13T01:00:00.000Z;247.58599999999996
Value;2015-11-13T01:30:00.000Z;249.785
Value;2015-11-13T02:00:00.000Z;null
Value;2015-11-13T02:30:00.000Z;null
Value;2015-11-13T03:00:00.000Z;null
Value;2015-11-13T03:30:00.000Z;null
Value;2015-11-13T04:00:00.000Z;null
Value;2015-11-13T04:30:00.000Z;null
Value;2015-11-13T05:00:00.000Z;null
Value;2015-11-13T05:30:00.000Z;244.37374999999997
Value;2015-11-13T06:00:00.000Z;249.119
Value;2015-11-13T06:30:00.000Z;247.711
Value;2015-11-13T07:00:00.000Z;246.29100000000003
Value;2015-11-13T07:30:00.000Z;245.298
Value;2015-11-13T08:00:00.000Z;238.93199999999996
