Series;Time;Value
coTeater;2015-11-02T00:00:00.000Z;0
coTeater;2015-11-02T00:30:00.000Z;0
coTeater;2015-11-02T01:00:00.000Z;0
coTeater;2015-11-02T01:30:00.000Z;0
coTeater;2015-11-02T02:00:00.000Z;0
coTeater;2015-11-02T02:30:00.000Z;0
coTeater;2015-11-02T03:00:00.000Z;0
coTeater;2015-11-02T03:30:00.000Z;0
coTeater;2015-11-02T04:00:00.000Z;0
coTeater;2015-11-02T04:30:00.000Z;0
coTeater;2015-11-02T05:00:00.000Z;0
coTeater;2015-11-02T05:30:00.000Z;0
coTeater;2015-11-02T06:00:00.000Z;0
coTeater;2015-11-02T06:30:00.000Z;0
coTeater;2015-11-02T07:00:00.000Z;0
coTeater;2015-11-02T07:30:00.000Z;0
coTeater;2015-11-02T08:00:00.000Z;0
coTeater;2015-11-02T08:30:00.000Z;0
coTeater;2015-11-02T09:00:00.000Z;0
coTeater;2015-11-02T09:30:00.000Z;0
coTeater;2015-11-02T10:00:00.000Z;0
coTeater;2015-11-02T10:30:00.000Z;0
coTeater;2015-11-02T11:00:00.000Z;0
coTeater;2015-11-02T11:30:00.000Z;0
coTeater;2015-11-02T12:00:00.000Z;0
coTeater;2015-11-02T12:30:00.000Z;0
coTeater;2015-11-02T13:00:00.000Z;0
coTeater;2015-11-02T13:30:00.000Z;0
coTeater;2015-11-02T14:00:00.000Z;0
coTeater;2015-11-02T14:30:00.000Z;0
coTeater;2015-11-02T15:00:00.000Z;0
coTeater;2015-11-02T15:30:00.000Z;0
coTeater;2015-11-02T16:00:00.000Z;0
coTeater;2015-11-02T16:30:00.000Z;0
coTeater;2015-11-02T17:00:00.000Z;0
coTeater;2015-11-02T17:30:00.000Z;0
coTeater;2015-11-02T18:00:00.000Z;0
coTeater;2015-11-02T18:30:00.000Z;0
coTeater;2015-11-02T19:00:00.000Z;0
coTeater;2015-11-02T19:30:00.000Z;0
coTeater;2015-11-02T20:00:00.000Z;0
coTeater;2015-11-02T20:30:00.000Z;0
coTeater;2015-11-02T21:00:00.000Z;0
coTeater;2015-11-02T21:30:00.000Z;0
coTeater;2015-11-02T22:00:00.000Z;0
coTeater;2015-11-02T22:30:00.000Z;0
coTeater;2015-11-02T23:00:00.000Z;0
coTeater;2015-11-02T23:30:00.000Z;0
coTeater;2015-11-03T00:00:00.000Z;0
coTeater;2015-11-03T00:30:00.000Z;0
coTeater;2015-11-03T01:00:00.000Z;0
coTeater;2015-11-03T01:30:00.000Z;0
coTeater;2015-11-03T02:00:00.000Z;0
coTeater;2015-11-03T02:30:00.000Z;0
coTeater;2015-11-03T03:00:00.000Z;0
coTeater;2015-11-03T03:30:00.000Z;0
coTeater;2015-11-03T04:00:00.000Z;0
coTeater;2015-11-03T04:30:00.000Z;0
coTeater;2015-11-03T05:00:00.000Z;0
coTeater;2015-11-03T05:30:00.000Z;0
coTeater;2015-11-03T06:00:00.000Z;0
coTeater;2015-11-03T06:30:00.000Z;0
coTeater;2015-11-03T07:00:00.000Z;0
coTeater;2015-11-03T07:30:00.000Z;0
coTeater;2015-11-03T08:00:00.000Z;0
coTeater;2015-11-03T08:30:00.000Z;0
coTeater;2015-11-03T09:00:00.000Z;0
coTeater;2015-11-03T09:30:00.000Z;0
