"","Series","Time","Value","temp","humidity","aq_resistance"
"2","O3",2015-11-10 08:05:00,220.305,18,57.93,3.61
"3","O3",2015-11-10 08:10:00,202.66,22.25,49.19,3.59
"4","O3",2015-11-10 08:15:00,207.135,23.58,45.29,3.57
"5","O3",2015-11-10 08:20:00,198.76,25.935,40.14,3.56
"6","O3",2015-11-10 08:25:00,192.25,29.44,34.26,3.53
"7","O3",2015-11-10 08:30:00,189.32,31.91,29.93,3.53
"8","O3",2015-11-10 08:35:00,187.895,33.78,26.6,3.5
"9","O3",2015-11-10 08:40:00,183.82,35.81,24.3933333333333,3.49
"10","O3",2015-11-10 08:45:00,178.01,37.1966666666667,22.64,3.47666666666667
"11","O3",2015-11-10 08:50:00,182.57,37.48,21.7,3.48
"12","O3",2015-11-10 08:55:00,185.48,32.44,23.69,3.51
"13","O3",2015-11-10 09:00:00,204.245,28.3,27.035,3.51
"14","O3",2015-11-10 09:05:00,214.33,24.935,30.86,3.53
"15","O3",2015-11-10 09:10:00,205.31,23.1,33.34,3.53
"16","O3",2015-11-10 09:15:00,207.89,21.81,35.46,3.55
"17","O3",2015-11-10 09:20:00,214.99,20.7,37.41,3.55
"18","O3",2015-11-10 09:25:00,205.81,19.91,39.145,3.55
"19","O3",2015-11-10 09:30:00,205.215,19.31,40.69,3.55
"20","O3",2015-11-10 09:35:00,205.515,18.95,41.75,3.56
"21","O3",2015-11-10 09:40:00,206.29,18.58,43.035,3.56
"22","O3",2015-11-10 09:45:00,200.1,18.44,43.88,3.57
"23","O3",2015-11-10 09:50:00,198.3,18.33,44.51,3.57
"24","O3",2015-11-10 09:55:00,205.24,18.23,44.97,3.57
"25","O3",2015-11-10 10:00:00,193.595,18.155,45.445,3.57
"26","O3",2015-11-10 10:05:00,201.945,18.13,45.9766666666667,3.57
"27","O3",2015-11-10 10:10:00,206.28,18.09,46.29,3.57
"28","O3",2015-11-10 10:15:00,191.435,18.19,46.46,3.57
"29","O3",2015-11-10 10:20:00,188.58,18.39,46.42,3.57
"30","O3",2015-11-10 10:25:00,193.69,18.45,46.375,3.57
"31","O3",2015-11-10 10:30:00,185.765,21.95,45.46,3.53
"32","O3",2015-11-10 10:35:00,153.71,26.08,39.55,3.51
"33","O3",2015-11-10 10:40:00,149.38,30.5,31.38,3.49
"34","O3",2015-11-10 10:45:00,147.39,33.85,26.15,3.47
"35","O3",2015-11-10 10:50:00,135.66,36.345,23.255,3.45
"36","O3",2015-11-10 10:55:00,128.72,38.665,20.295,3.44
"37","O3",2015-11-10 11:00:00,151.16,39.4,18.6,3.43
"38","O3",2015-11-10 11:05:00,147.1,40.29,18.635,3.41
"39","O3",2015-11-10 11:10:00,136.06,41.07,17.26,3.41
"40","O3",2015-11-10 11:15:00,156.105,38.3833333333333,18.6333333333333,3.43666666666667
"41","O3",2015-11-10 11:20:00,156.3,32.215,21.76,3.46
"42","O3",2015-11-10 11:25:00,139.49,28.93,24.22,3.49
"43","O3",2015-11-10 11:30:00,141.995,26.25,27.235,3.49
"44","O3",2015-11-10 11:35:00,163.47,24.17,30.02,3.51
"45","O3",2015-11-10 11:40:00,192,22.33,33.0066666666667,3.51
"46","O3",2015-11-10 11:45:00,187.225,21.29,35,3.51
"47","O3",2015-11-10 11:50:00,189.11,20.31,36.95,3.53
"48","O3",2015-11-10 11:55:00,201.24,19.3,39.325,3.53
"49","O3",2015-11-10 12:00:00,199.97,18.72,40.69,3.55
"50","O3",2015-11-10 12:05:00,208.225,18.16,42.42,3.55
"51","O3",2015-11-10 12:10:00,196.78,17.73,43.52,3.55
"52","O3",2015-11-10 12:15:00,198.815,17.3933333333333,44.7433333333333,3.55666666666667
"53","O3",2015-11-10 12:20:00,196.31,17.13,45.95,3.56
"54","O3",2015-11-10 12:25:00,208.41,16.94,46.71,3.55
"55","O3",2015-11-10 12:30:00,201.385,16.805,47.49,3.56
"56","O3",2015-11-10 12:35:00,196.86,16.73,47.85,3.57
"57","O3",2015-11-10 12:40:00,197.11,16.66,48.26,3.57
"58","O3",2015-11-10 12:45:00,207.895,16.59,48.78,3.57
"59","O3",2015-11-10 12:50:00,193.9,16.555,49.17,3.57
"61","O3",2015-11-10 13:00:00,201.56,16.44,50.02,3.57
"62","O3",2015-11-10 13:05:00,193.575,16.44,50.185,3.56
"63","O3",2015-11-10 13:10:00,197.54,16.42,50.34,3.57
"64","O3",2015-11-10 13:15:00,195.84,16.37,50.53,3.57
"65","O3",2015-11-10 13:20:00,201.91,16.355,50.685,3.57
"66","O3",2015-11-10 13:25:00,197.33,16.34,50.84,3.57
"67","O3",2015-11-10 13:30:00,202.53,16.3,51.05,3.57
"68","O3",2015-11-10 13:35:00,197.845,16.27,51.22,3.57
"69","O3",2015-11-10 13:40:00,197.2,16.22,51.345,3.57
"70","O3",2015-11-10 13:45:00,191.91,16.14,51.62,3.57
"71","O3",2015-11-10 13:50:00,193.89,16.1,51.82,3.57
"72","O3",2015-11-10 13:55:00,195.64,16.05,51.96,3.57
"73","O3",2015-11-10 14:00:00,195.015,15.93,52.27,3.57
"74","O3",2015-11-10 14:05:00,201.64,15.86,52.39,3.57
"75","O3",2015-11-10 14:10:00,190.58,15.76,52.685,3.57
"76","O3",2015-11-10 14:15:00,189.055,15.66,52.96,3.57
"77","O3",2015-11-10 14:20:00,202.835,15.585,53.255,3.57
"78","O3",2015-11-10 14:25:00,196.04,15.39,53.58,3.57
"79","O3",2015-11-10 14:30:00,202.52,15.21,53.88,3.57
"80","O3",2015-11-10 14:35:00,197.08,15.06,54.23,3.57
"81","O3",2015-11-10 14:40:00,202.43,14.95,54.6,3.57
"82","O3",2015-11-10 14:45:00,204.25,14.805,54.81,3.57
"83","O3",2015-11-10 14:50:00,206.125,14.675,55.135,3.57
"84","O3",2015-11-10 14:55:00,215.17,14.55,55.41,3.57
"85","O3",2015-11-10 15:00:00,204.865,14.46,55.705,3.57
"86","O3",2015-11-10 15:05:00,203.395,14.4,55.98,3.57
"87","O3",2015-11-10 15:10:00,197.78,14.33,56.225,3.57
"88","O3",2015-11-10 15:15:00,217.895,14.21,56.685,3.57
"89","O3",2015-11-10 15:20:00,215.51,14.15,56.91,3.57
"90","O3",2015-11-10 15:25:00,218.76,14.075,57.255,3.57
"91","O3",2015-11-10 15:30:00,208.54,13.98,57.46,3.59
"92","O3",2015-11-10 15:35:00,208.995,13.89,57.82,3.57
"93","O3",2015-11-10 15:40:00,210.57,13.83,57.83,3.58
"94","O3",2015-11-10 15:45:00,211.15,13.78,57.9,3.59
"95","O3",2015-11-10 15:50:00,213.055,13.705,57.99,3.59
"96","O3",2015-11-10 15:55:00,217.02,13.66,58.11,3.59
"97","O3",2015-11-10 16:00:00,204.53,13.61,58.245,3.59
"98","O3",2015-11-10 16:05:00,204.15,13.57,58.405,3.59
"99","O3",2015-11-10 16:10:00,213.25,13.54,58.52,3.59
